type,client,tx,amount
deposit,411,139,614.3773
resolve,494,140,183.0978
withdrawal,450,141,196.1974
deposit,730,142,139.5267
dispute,350,143,690.7423
withdrawal,59,144,872.8218
chargeback,134,145,64.9017
deposit,839,146,553.8855
deposit,541,147,364.0251
resolve,915,148,104.3784
resolve,33,149,152.2449
dispute,302,150,634.6137
deposit,634,151,277.6448
withdrawal,520,152,327.5447
resolve,85,153,859.6699
deposit,698,154,520.3185
resolve,450,155,607.1764
withdrawal,887,156,728.4434
dispute,392,157,423.0613
deposit,363,158,458.8452
deposit,536,159,733.2072
withdrawal,83,160,695.8644
withdrawal,305,161,534.9329
chargeback,419,162,108.79
withdrawal,736,163,856.0253
resolve,179,164,619.6065
withdrawal,578,165,522.1598
withdrawal,807,166,794.2969
chargeback,740,167,878.5831
withdrawal,763,168,144.5562
chargeback,231,169,473.9727
withdrawal,54,170,182.2978
resolve,662,171,585.915
resolve,451,172,795.9006
withdrawal,843,173,435.0489
dispute,796,174,831.5036
deposit,530,175,954.3429
resolve,773,176,709.2745
deposit,629,177,181.7162
dispute,214,178,286.7763
chargeback,336,179,49.5885
dispute,669,180,901.5825
withdrawal,751,181,110.8945
resolve,103,182,245.5011
dispute,50,183,250.3177
withdrawal,549,184,789.3504
chargeback,417,185,575.7906
withdrawal,173,186,214.2768
resolve,678,187,471.763
dispute,446,188,325.5384
resolve,361,189,167.0908
deposit,889,190,575.0181
chargeback,146,191,138.3312
deposit,75,192,877.0365
withdrawal,494,193,748.4848
chargeback,48,194,737.0039
withdrawal,844,195,370.7941
resolve,807,196,106.5248
chargeback,991,197,717.4502
resolve,85,198,912.893
resolve,767,199,548.7177
dispute,70,200,293.8617
dispute,67,201,181.2439
deposit,162,202,559.5634
deposit,543,203,937.8833
deposit,759,204,709.3408
dispute,71,205,551.7886
dispute,117,206,24.1396
resolve,847,207,739.5214
chargeback,644,208,291.947
withdrawal,975,209,356.7446
deposit,523,210,12.3989
deposit,138,211,130.5954
chargeback,572,212,800.4826
chargeback,389,213,707.5975
withdrawal,135,214,144.5202
withdrawal,605,215,464.2564
deposit,122,216,295.1828
deposit,851,217,68.8669
resolve,563,218,9.0506
resolve,820,219,236.7209
resolve,886,220,488.9956
resolve,735,221,422.1521
dispute,27,222,98.799
dispute,572,223,949.1576
deposit,408,224,863.2332
deposit,195,225,851.2715
resolve,545,226,167.5914
resolve,190,227,221.6377
dispute,424,228,390.3117
chargeback,983,229,967.6449
deposit,189,230,260.1088
withdrawal,239,231,388.1466
deposit,216,232,516.2214
dispute,407,233,39.8909
chargeback,485,234,406.6232
dispute,259,235,174.8424
dispute,811,236,941.8036
deposit,255,237,197.3131
resolve,89,238,109.6031
resolve,540,239,670.1872
resolve,633,240,357.1384
deposit,308,241,920.3569
resolve,536,242,309.2893
resolve,710,243,780.1562
deposit,444,244,184.5906
chargeback,960,245,747.1076
deposit,44,246,572.8676
withdrawal,304,247,516.4434
withdrawal,270,248,454.967
dispute,190,249,545.3888
withdrawal,39,250,937.844
deposit,833,251,876.5147
dispute,75,252,240.5705
chargeback,898,253,656.7154
withdrawal,257,254,341.7879
withdrawal,903,255,906.4163
resolve,269,256,517.1668
chargeback,979,257,423.6586
withdrawal,512,258,842.2107
resolve,57,259,674.7585
dispute,63,260,55.5836
deposit,735,261,179.0249
withdrawal,655,262,64.7625
resolve,623,263,298.3862
chargeback,692,264,484.4778
resolve,387,265,207.9697
deposit,456,266,867.1015
resolve,202,267,337.2228
withdrawal,815,268,865.5326
deposit,927,269,376.5198
resolve,366,270,191.9977
resolve,612,271,13.6927
chargeback,380,272,890.858
withdrawal,904,273,148.849
withdrawal,484,274,62.9509
withdrawal,962,275,702.0273
chargeback,647,276,874.388
chargeback,374,277,866.1763
deposit,848,278,479.1027
chargeback,873,279,509.9024
chargeback,16,280,157.9949
withdrawal,907,281,431.4397
chargeback,595,282,435.0596
withdrawal,673,283,801.7797
deposit,97,284,857.9149
chargeback,59,285,900.8526
dispute,652,286,593.9543
resolve,388,287,439.9828
dispute,737,288,121.378
deposit,2,289,16.1558
withdrawal,936,290,500.2824
withdrawal,370,291,923.2867
dispute,902,292,767.7085
chargeback,462,293,622.7209
chargeback,77,294,333.4734
resolve,428,295,529.8825
withdrawal,953,296,370.5118
chargeback,835,297,931.7058
chargeback,730,298,603.3287
deposit,405,299,882.088
withdrawal,207,300,664.3461
dispute,190,301,205.2211
withdrawal,279,302,792.5123
withdrawal,324,303,727.8295
dispute,125,304,990.8965
dispute,779,305,393.9765
chargeback,368,306,618.737
deposit,228,307,56.7768
chargeback,774,308,96.0068
dispute,931,309,708.8992
chargeback,596,310,741.8815
chargeback,384,311,593.7128
chargeback,547,312,433.2464
deposit,65,313,155.4156
resolve,3,314,170.0597
deposit,892,315,1.0099
chargeback,37,316,826.6777
chargeback,773,317,804.0635
withdrawal,273,318,890.2291
chargeback,418,319,689.4967
resolve,712,320,50.3742
resolve,352,321,886.066
deposit,382,322,673.635
dispute,312,323,271.4044
deposit,541,324,496.8559
deposit,515,325,455.2744
chargeback,353,326,985.4137
withdrawal,73,327,304.5722
dispute,829,328,606.9892
withdrawal,623,329,181.7515
withdrawal,230,330,864.3953
deposit,637,331,219.706
resolve,838,332,740.9172
withdrawal,446,333,224.134
withdrawal,238,334,791.2199
dispute,636,335,759.8983
chargeback,63,336,179.8247
chargeback,525,337,979.3919
dispute,54,338,676.0697
deposit,529,339,429.6231
dispute,106,340,307.6655
deposit,227,341,515.633
deposit,895,342,884.4103
chargeback,508,343,654.4677
deposit,89,344,445.9158
chargeback,917,345,72.5353
dispute,341,346,195.8794
withdrawal,864,347,258.1256
dispute,456,348,986.8164
dispute,827,349,307.6001
withdrawal,810,350,355.1608
dispute,498,351,425.275
dispute,213,352,707.5915
chargeback,947,353,230.5402
resolve,755,354,944.6838
chargeback,33,355,380.1894
dispute,779,356,958.6828
withdrawal,421,357,454.8577
withdrawal,566,358,92.2437
deposit,722,359,718.9314
withdrawal,484,360,312.343
resolve,377,361,747.224
withdrawal,105,362,84.7955
withdrawal,114,363,826.77
resolve,828,364,843.0652
chargeback,459,365,548.7472
resolve,37,366,510.8179
resolve,877,367,627.8296
chargeback,273,368,395.0135
resolve,794,369,333.9475
chargeback,988,370,563.0839
resolve,556,371,511.9085
chargeback,807,372,745.4036
resolve,263,373,974.7149
resolve,408,374,704.5193
deposit,376,375,485.7198
resolve,655,376,767.4288
chargeback,141,377,547.0382
chargeback,449,378,623.4873
chargeback,285,379,540.7136
chargeback,440,380,156.1319
deposit,252,381,287.8445
resolve,121,382,17.5842
dispute,751,383,980.8472
chargeback,72,384,946.7826
chargeback,723,385,157.9697
resolve,513,386,366.6029
deposit,715,387,54.6015
deposit,402,388,197.2211
chargeback,625,389,195.9884
dispute,154,390,720.7089
dispute,678,391,980.7812
dispute,977,392,593.0543
withdrawal,24,393,606.3813
withdrawal,191,394,356.7133
dispute,137,395,45.9713
dispute,458,396,426.7286
dispute,787,397,531.52
deposit,892,398,828.0036
resolve,133,399,42.7845
chargeback,920,400,454.8565
dispute,107,401,242.0869
resolve,729,402,340.9558
dispute,204,403,445.499
deposit,396,404,495.3536
dispute,668,405,250.3467
withdrawal,888,406,786.2718
chargeback,52,407,630.7039
chargeback,195,408,821.4856
deposit,989,409,66.9217
withdrawal,237,410,688.0165
dispute,310,411,191.9671
resolve,381,412,703.7019
chargeback,671,413,723.6192
chargeback,824,414,706.7394
dispute,540,415,948.7568
withdrawal,703,416,779.659
withdrawal,610,417,914.0082
deposit,37,418,418.037
dispute,862,419,532.409
dispute,358,420,689.8249
deposit,110,421,41.2391
resolve,438,422,73.2348
dispute,619,423,987.4094
chargeback,955,424,942.8718
dispute,107,425,320.2116
chargeback,319,426,456.5166
dispute,494,427,562.1721
dispute,358,428,165.7436
deposit,44,429,201.9101
chargeback,643,430,922.7187
resolve,174,431,834.4587
chargeback,968,432,628.5795
withdrawal,888,433,890.9119
chargeback,606,434,570.3757
chargeback,332,435,17.2722
resolve,895,436,751.1369
dispute,632,437,473.8298
chargeback,715,438,787.9124
resolve,720,439,519.5364
dispute,687,440,598.5461
withdrawal,935,441,465.7923
chargeback,733,442,971.6973
resolve,8,443,131.0903
resolve,154,444,746.7344
deposit,246,445,863.5988
chargeback,838,446,310.8945
chargeback,555,447,461.7261
dispute,382,448,831.6907
resolve,720,449,311.2107
resolve,908,450,633.6702
withdrawal,666,451,212.5338
deposit,95,452,917.0468
resolve,458,453,791.0853
dispute,496,454,227.1738
resolve,377,455,132.3386
withdrawal,227,456,331.2275
dispute,463,457,885.3322
chargeback,680,458,766.1955
dispute,226,459,276.9821
resolve,457,460,940.9413
chargeback,234,461,234.9068
resolve,519,462,572.7704
dispute,687,463,575.8083
resolve,775,464,556.7022
withdrawal,851,465,605.8897
withdrawal,868,466,809.9774
deposit,505,467,157.0782
deposit,424,468,740.7609
deposit,965,469,870.3576
deposit,237,470,967.1596
resolve,50,471,905.585
resolve,97,472,195.375
resolve,234,473,127.8236
deposit,759,474,294.4779
withdrawal,248,475,242.1163
resolve,890,476,125.6549
withdrawal,207,477,17.1871
withdrawal,742,478,86.6395
deposit,396,479,82.5604
resolve,267,480,633.4373
deposit,824,481,445.0351
resolve,691,482,445.0338
resolve,724,483,337.444
resolve,237,484,331.9285
dispute,94,485,64.6648
chargeback,533,486,665.2742
dispute,748,487,877.6804
dispute,723,488,627.1232
chargeback,446,489,762.3382
resolve,774,490,414.0467
resolve,594,491,401.7162
chargeback,91,492,304.8249
resolve,182,493,236.1037
chargeback,5,494,943.7507
resolve,808,495,179.8485
resolve,637,496,312.079
chargeback,214,497,873.0001
withdrawal,497,498,497.1343
deposit,721,499,186.7655
deposit,202,500,689.8945
chargeback,209,501,357.5687
withdrawal,19,502,535.5991
dispute,945,503,186.7065
dispute,284,504,894.2478
dispute,559,505,293.5454
dispute,895,506,980.2756
dispute,944,507,353.6547
withdrawal,982,508,929.8322
withdrawal,733,509,22.5288
dispute,757,510,351.128
dispute,136,511,893.3817
resolve,322,512,133.9909
withdrawal,395,513,997.8424
resolve,200,514,246.7531
withdrawal,937,515,921.986
resolve,276,516,908.9695
dispute,162,517,800.0318
withdrawal,137,518,527.8696
resolve,49,519,714.9517
withdrawal,306,520,66.2638
deposit,922,521,351.0782
withdrawal,521,522,287.7503
deposit,978,523,934.6357
withdrawal,11,524,44.6736
withdrawal,899,525,531.7871
deposit,301,526,454.8379
withdrawal,466,527,326.2491
deposit,316,528,532.7193
resolve,172,529,826.3849
chargeback,989,530,437.0398
dispute,230,531,378.2526
withdrawal,304,532,998.2114
dispute,825,533,723.6456
withdrawal,631,534,430.7532
dispute,947,535,323.4946
resolve,954,536,78.275
chargeback,875,537,541.3607
withdrawal,709,538,168.9632
withdrawal,395,539,227.3989
withdrawal,957,540,867.2893
deposit,869,541,377.8886
withdrawal,946,542,441.2452
resolve,285,543,821.0398
deposit,610,544,46.6734
withdrawal,416,545,877.5761
dispute,545,546,190.1418
resolve,148,547,513.2003
dispute,207,548,802.6628
deposit,481,549,215.3297
dispute,2,550,928.0743
chargeback,251,551,213.8975
withdrawal,575,552,535.5294
chargeback,661,553,797.2385
withdrawal,810,554,481.8764
resolve,598,555,478.2356
resolve,536,556,381.0402
resolve,17,557,472.2694
dispute,396,558,805.5974
dispute,258,559,734.8814
dispute,773,560,127.6148
deposit,739,561,613.1487
withdrawal,514,562,900.2347
chargeback,389,563,959.2906
withdrawal,928,564,100.4874
withdrawal,666,565,225.1682
withdrawal,711,566,297.8515
withdrawal,284,567,252.8251
chargeback,730,568,414.106
resolve,361,569,998.6123
deposit,193,570,735.2049
chargeback,7,571,273.0119
dispute,101,572,49.2148
resolve,838,573,881.8773
resolve,980,574,221.7607
chargeback,498,575,727.8117
resolve,838,576,218.1713
resolve,981,577,906.5585
deposit,295,578,68.7022
deposit,271,579,436.7286
deposit,941,580,971.5866
dispute,748,581,954.4047
withdrawal,747,582,506.7581
chargeback,43,583,767.1872
deposit,674,584,151.3711
chargeback,890,585,985.2262
deposit,343,586,802.1064
withdrawal,457,587,67.7926
chargeback,808,588,643.9929
withdrawal,639,589,108.5523
deposit,845,590,174.9643
dispute,823,591,615.6002
deposit,473,592,398.3073
deposit,961,593,11.0104
withdrawal,447,594,615.6564
dispute,743,595,785.2677
chargeback,541,596,814.4966
deposit,44,597,593.197
dispute,703,598,191.903
deposit,654,599,846.4746
resolve,119,600,266.6253
withdrawal,833,601,381.0545
deposit,260,602,155.0127
resolve,761,603,311.4139
chargeback,605,604,260.0457
dispute,852,605,924.4013
dispute,745,606,352.2743
deposit,872,607,188.2371
resolve,941,608,690.1727
resolve,907,609,910.936
resolve,926,610,69.2296
resolve,785,611,993.2424
deposit,682,612,453.1172
chargeback,3,613,56.9127
withdrawal,63,614,24.4117
deposit,589,615,809.2086
resolve,523,616,876.7247
chargeback,867,617,376.9302
deposit,624,618,848.1958
dispute,87,619,801.8583
resolve,618,620,860.1162
dispute,576,621,550.5542
withdrawal,964,622,815.7907
withdrawal,860,623,349.6864
resolve,60,624,299.1391
deposit,328,625,121.259
withdrawal,96,626,312.9242
withdrawal,143,627,535.12
chargeback,858,628,679.8226
dispute,884,629,380.9422
deposit,16,630,622.544
withdrawal,7,631,621.5064
dispute,301,632,972.2852
resolve,715,633,829.7579
withdrawal,365,634,352.0459
deposit,58,635,284.6974
deposit,709,636,619.0541
resolve,376,637,308.9165
resolve,962,638,417.584
chargeback,878,639,675.9365
deposit,394,640,231.03
dispute,192,641,99.749
deposit,339,642,197.504
chargeback,370,643,148.206
resolve,943,644,659.2634
dispute,500,645,469.8969
deposit,133,646,413.8135
withdrawal,584,647,92.6622
withdrawal,1,648,215.1925
withdrawal,504,649,979.8507
dispute,82,650,873.2941
deposit,703,651,736.6081
resolve,235,652,191.0768
dispute,540,653,883.5198
chargeback,304,654,42.4661
resolve,442,655,225.3124
deposit,650,656,48.9891
deposit,642,657,52.7681
dispute,366,658,73.1092
dispute,705,659,364.6842
deposit,804,660,909.0626
resolve,352,661,536.5682
dispute,345,662,832.3492
withdrawal,567,663,863.8511
dispute,162,664,682.3594
deposit,920,665,352.58
dispute,395,666,768.2421
chargeback,753,667,583.229
withdrawal,164,668,306.5981
chargeback,962,669,547.6587
chargeback,261,670,74.2602
dispute,397,671,805.406
resolve,149,672,968.7362
chargeback,605,673,916.5077
withdrawal,383,674,167.4418
chargeback,101,675,968.6635
withdrawal,788,676,118.939
dispute,865,677,179.4531
dispute,614,678,618.5341
deposit,373,679,304.2125
resolve,258,680,509.1208
withdrawal,934,681,890.0683
chargeback,184,682,656.506
withdrawal,206,683,191.5803
dispute,948,684,290.9989
dispute,399,685,561.3429
withdrawal,279,686,131.7032
withdrawal,120,687,349.1528
resolve,957,688,384.8174
chargeback,337,689,970.8133
resolve,514,690,955.1795
deposit,67,691,473.7206
deposit,357,692,451.2837
dispute,369,693,121.9103
chargeback,747,694,293.3544
dispute,663,695,312.668
withdrawal,454,696,142.3505
deposit,633,697,388.7718
chargeback,714,698,365.8403
resolve,748,699,7.1166
resolve,951,700,653.4997
dispute,859,701,670.8753
withdrawal,790,702,727.3054
dispute,271,703,533.3406
dispute,602,704,971.2721
dispute,611,705,752.8021
deposit,435,706,753.1022
deposit,702,707,247.1689
chargeback,114,708,359.9866
deposit,722,709,210.1594
dispute,886,710,872.6332
resolve,752,711,109.2782
withdrawal,983,712,570.9719
withdrawal,838,713,361.7507
withdrawal,502,714,894.9436
chargeback,593,715,740.1511
chargeback,253,716,479.4601
resolve,662,717,925.6509
withdrawal,189,718,632.1361
resolve,732,719,309.4071
chargeback,206,720,933.4988
withdrawal,205,721,999.2202
chargeback,221,722,163.1889
deposit,386,723,252.971
withdrawal,384,724,594.221
deposit,378,725,328.1178
deposit,523,726,851.0049
withdrawal,981,727,510.9347
dispute,289,728,255.4375
deposit,595,729,252.2243
chargeback,767,730,165.0808
deposit,494,731,446.8144
chargeback,980,732,158.9215
resolve,347,733,344.1504
dispute,507,734,27.212
chargeback,979,735,757.2288
withdrawal,485,736,576.352
dispute,195,737,479.5305
deposit,639,738,777.6922
resolve,696,739,168.47
chargeback,432,740,313.8979
dispute,334,741,259.1221
dispute,623,742,954.3115
dispute,68,743,554.5025
resolve,462,744,356.1079
withdrawal,307,745,322.9634
deposit,569,746,894.0537
dispute,954,747,149.191
deposit,112,748,568.4761
dispute,758,749,89.5872
chargeback,745,750,706.885
deposit,998,751,749.5186
chargeback,421,752,477.9032
chargeback,681,753,305.4854
deposit,335,754,880.8838
withdrawal,173,755,329.8712
withdrawal,673,756,713.4078
deposit,558,757,244.3492
dispute,491,758,660.272
withdrawal,154,759,696.9006
resolve,529,760,62.4472
withdrawal,67,761,78.5002
dispute,668,762,306.6789
withdrawal,559,763,467.5828
chargeback,230,764,249.8702
resolve,684,765,834.6657
deposit,296,766,109.1676
dispute,527,767,933.3304
resolve,183,768,156.6288
resolve,486,769,541.2526
deposit,471,770,878.1833
deposit,858,771,128.2646
withdrawal,742,772,297.3485
resolve,708,773,11.0913
resolve,197,774,78.5346
dispute,897,775,192.3368
chargeback,119,776,855.5496
withdrawal,17,777,248.5356
dispute,159,778,315.2838
withdrawal,505,779,836.7487
deposit,771,780,165.4288
chargeback,812,781,325.3949
deposit,179,782,383.2175
withdrawal,880,783,416.0871
withdrawal,564,784,530.4556
withdrawal,94,785,808.6438
chargeback,288,786,519.9914
deposit,724,787,184.2609
withdrawal,434,788,439.4811
chargeback,695,789,810.6652
deposit,312,790,617.0055
resolve,752,791,49.3293
deposit,204,792,409.0695
deposit,548,793,17.2758
deposit,404,794,295.0994
deposit,433,795,667.8524
resolve,304,796,520.9604
deposit,694,797,124.6151
withdrawal,76,798,162.8238
deposit,397,799,841.6223
withdrawal,410,800,267.395
chargeback,844,801,15.9256
dispute,799,802,719.3168
dispute,824,803,930.268
withdrawal,52,804,286.5121
deposit,525,805,859.4761
chargeback,246,806,52.119
deposit,566,807,126.7802
dispute,729,808,762.8395
withdrawal,81,809,467.8442
withdrawal,510,810,181.4286
dispute,279,811,637.1315
dispute,270,812,567.7516
chargeback,127,813,875.4382
dispute,703,814,98.1241
chargeback,203,815,184.6818
resolve,933,816,378.9784
chargeback,221,817,63.7399
chargeback,270,818,775.7902
resolve,684,819,493.9072
withdrawal,303,820,515.0699
deposit,419,821,91.2834
withdrawal,370,822,74.0989
resolve,640,823,491.7423
dispute,207,824,296.7232
chargeback,229,825,140.1563
dispute,606,826,110.8102
dispute,18,827,223.5817
withdrawal,294,828,392.2422
withdrawal,774,829,399.6702
dispute,428,830,532.5535
deposit,800,831,762.5105
deposit,86,832,324.5785
dispute,373,833,473.0455
withdrawal,419,834,498.8927
withdrawal,343,835,767.1875
withdrawal,703,836,392.5343
withdrawal,452,837,350.7768
chargeback,728,838,411.3089
withdrawal,8,839,249.4248
chargeback,555,840,838.4436
deposit,184,841,77.9935
withdrawal,782,842,466.3992
dispute,183,843,385.4556
chargeback,205,844,339.8464
withdrawal,407,845,374.8425
resolve,518,846,281.4072
deposit,211,847,813.6614
chargeback,450,848,180.6327
deposit,480,849,505.9672
chargeback,382,850,309.3904
deposit,690,851,495.306
resolve,800,852,408.8005
chargeback,256,853,147.8912
chargeback,102,854,238.2728
chargeback,922,855,614.1135
withdrawal,568,856,811.5697
chargeback,693,857,730.8021
deposit,182,858,498.3423
chargeback,100,859,703.6322
chargeback,134,860,123.8849
chargeback,612,861,814.669
chargeback,565,862,857.4075
deposit,393,863,373.9595
resolve,31,864,928.5659
deposit,455,865,759.1535
withdrawal,849,866,641.3305
dispute,160,867,959.8066
dispute,426,868,520.5505
resolve,164,869,339.7316
withdrawal,465,870,599.5592
resolve,222,871,718.0455
dispute,901,872,820.059
chargeback,731,873,358.751
withdrawal,452,874,878.3338
chargeback,127,875,490.6233
withdrawal,888,876,117.7003
deposit,367,877,2.802
deposit,781,878,869.3131
withdrawal,693,879,649.2998
withdrawal,10,880,812.0869
deposit,425,881,72.0403
dispute,410,882,409.309
chargeback,944,883,432.5122
withdrawal,823,884,180.0409
resolve,798,885,542.8479
deposit,290,886,303.3001
withdrawal,308,887,637.7129
resolve,347,888,466.0342
deposit,472,889,789.0182
dispute,13,890,670.9094
chargeback,506,891,898.6359
chargeback,367,892,696.615
dispute,224,893,16.1394
deposit,622,894,848.5724
chargeback,204,895,940.0616
chargeback,254,896,905.818
resolve,741,897,667.454
chargeback,843,898,567.2233
chargeback,103,899,242.8822
resolve,438,900,650.3297
deposit,161,901,494.0367
resolve,307,902,445.5935
resolve,231,903,787.2147
deposit,609,904,794.7235
resolve,198,905,115.7135
deposit,887,906,710.933
chargeback,243,907,76.8141
deposit,26,908,622.5054
withdrawal,408,909,597.4318
resolve,635,910,482.3543
dispute,867,911,259.7647
deposit,523,912,919.4128
resolve,542,913,318.9534
withdrawal,573,914,759.3702
deposit,711,915,343.4359
withdrawal,297,916,24.0254
withdrawal,566,917,500.099
chargeback,335,918,166.1677
withdrawal,565,919,62.8965
chargeback,968,920,109.4208
withdrawal,212,921,249.7777
deposit,882,922,559.3651
resolve,745,923,208.1528
chargeback,869,924,507.2008
dispute,79,925,849.516
resolve,89,926,821.5675
resolve,614,927,72.3999
dispute,722,928,410.1917
resolve,619,929,819.7459
chargeback,821,930,238.7713
dispute,49,931,435.9178
chargeback,958,932,809.4722
dispute,607,933,239.0162
deposit,755,934,923.926
deposit,714,935,89.48
deposit,676,936,326.2961
deposit,595,937,791.2252
withdrawal,890,938,253.2292
deposit,914,939,966.8246
dispute,387,940,284.3661
chargeback,162,941,418.0122
deposit,447,942,76.9589
resolve,138,943,843.2605
dispute,834,944,586.9153
resolve,643,945,294.3518
resolve,562,946,593.1798
deposit,463,947,590.4589
deposit,854,948,935.2094
withdrawal,804,949,684.6077
deposit,682,950,33.739
withdrawal,141,951,715.4641
withdrawal,908,952,331.5171
dispute,432,953,880.541
chargeback,573,954,780.8804
chargeback,138,955,53.7304
dispute,902,956,166.9001
resolve,580,957,228.9705
resolve,777,958,612.4508
chargeback,682,959,930.3304
dispute,981,960,251.7655
withdrawal,22,961,938.8202
withdrawal,10,962,527.763
resolve,200,963,969.5814
deposit,848,964,936.4224
dispute,14,965,799.7163
chargeback,919,966,592.0245
withdrawal,133,967,377.6401
dispute,529,968,969.8324
withdrawal,270,969,849.0449
dispute,210,970,936.4043
withdrawal,736,971,47.6682
deposit,974,972,426.839
deposit,986,973,523.7481
dispute,323,974,472.9101
withdrawal,931,975,814.7949
dispute,171,976,85.0283
deposit,307,977,706.9847
dispute,974,978,732.6164
deposit,859,979,795.1048
dispute,123,980,115.466
chargeback,763,981,243.0868
resolve,511,982,565.6816
withdrawal,454,983,502.4806
chargeback,298,984,659.816
resolve,491,985,274.3732
chargeback,719,986,79.5263
deposit,219,987,286.2467
dispute,404,988,972.1662
withdrawal,912,989,511.3926
withdrawal,424,990,985.4781
dispute,552,991,951.547
withdrawal,632,992,437.7664
dispute,987,993,796.8553
dispute,316,994,963.9829
chargeback,654,995,140.3132
resolve,313,996,348.1199
resolve,155,997,561.7036
deposit,915,998,438.9382
withdrawal,861,999,906.1481
deposit,752,1000,841.9277
chargeback,812,1001,255.7184
withdrawal,908,1002,221.1978
deposit,747,1003,609.9223
withdrawal,741,1004,672.5775
resolve,969,1005,962.9791
withdrawal,991,1006,576.9023
chargeback,863,1007,203.6188
chargeback,304,1008,397.5975
deposit,122,1009,871.2846
withdrawal,883,1010,124.5996
deposit,414,1011,302.8888
dispute,585,1012,885.4048
deposit,896,1013,735.9144
resolve,808,1014,393.0594
chargeback,610,1015,66.0509
dispute,936,1016,575.9508
chargeback,920,1017,587.9152
withdrawal,335,1018,770.9244
resolve,618,1019,24.3133
resolve,485,1020,676.7025
deposit,663,1021,193.4534
withdrawal,499,1022,42.9274
deposit,642,1023,108.115
withdrawal,436,1024,88.7228
chargeback,645,1025,130.7608
withdrawal,680,1026,545.8018
withdrawal,2,1027,245.1757
deposit,519,1028,386.1386
dispute,88,1029,357.5017
resolve,994,1030,174.0214
