type,client,tx,amount
dispute,1,199,237.503
resolve,133,200,162.7428
chargeback,830,201,804.2819
dispute,821,202,183.1569
chargeback,266,203,607.7501
dispute,260,204,237.0075
resolve,671,205,541.3041
withdrawal,985,206,817.0197
deposit,738,207,239.2297
resolve,894,208,558.202
withdrawal,632,209,830.1352
resolve,895,210,124.4917
withdrawal,32,211,459.6571
chargeback,69,212,625.7646
chargeback,753,213,187.233
resolve,889,214,919.9102
deposit,605,215,229.9212
dispute,761,216,910.7394
resolve,495,217,392.0601
chargeback,30,218,992.8434
dispute,904,219,330.8289
resolve,207,220,547.1697
deposit,469,221,263.3432
dispute,837,222,84.7837
dispute,619,223,22.3488
dispute,848,224,188.0742
deposit,15,225,203.8669
resolve,768,226,263.6758
deposit,966,227,230.8883
resolve,138,228,865.3157
resolve,697,229,902.4489
withdrawal,743,230,207.4882
withdrawal,491,231,273.6946
deposit,845,232,257.2053
dispute,387,233,747.279
withdrawal,322,234,989.7812
resolve,29,235,109.4434
withdrawal,715,236,764.2152
deposit,72,237,431.2453
deposit,987,238,69.5952
dispute,529,239,639.4197
deposit,235,240,354.3416
chargeback,888,241,535.6716
dispute,393,242,776.2325
resolve,289,243,601.6452
withdrawal,287,244,747.4058
deposit,748,245,530.391
withdrawal,241,246,625.2496
deposit,811,247,434.9603
chargeback,123,248,805.5856
deposit,38,249,965.48
deposit,887,250,768.1747
dispute,846,251,550.5846
withdrawal,810,252,918.3523
dispute,218,253,395.1298
resolve,368,254,100.442
deposit,384,255,760.2674
dispute,402,256,372.5897
deposit,919,257,279.0674
chargeback,927,258,816.8335
resolve,373,259,943.9844
resolve,675,260,697.4389
resolve,278,261,1000.0668
resolve,335,262,349.8995
dispute,225,263,512.673
dispute,651,264,245.7136
dispute,500,265,150.1785
deposit,390,266,199.4301
withdrawal,571,267,550.1093
deposit,882,268,96.4546
chargeback,418,269,202.6223
deposit,898,270,644.8139
resolve,748,271,813.3507
dispute,799,272,489.9882
chargeback,210,273,630.4987
resolve,422,274,355.6615
chargeback,188,275,288.1119
dispute,164,276,316.7184
deposit,993,277,61.977
chargeback,159,278,67.2844
deposit,301,279,488.1353
resolve,5,280,35.1509
deposit,392,281,612.7925
dispute,732,282,912.8655
withdrawal,211,283,329.0535
dispute,983,284,260.1011
chargeback,364,285,486.3227
chargeback,732,286,722.092
deposit,490,287,519.5374
resolve,475,288,707.6067
dispute,137,289,351.0821
dispute,259,290,784.9229
resolve,107,291,516.8069
dispute,621,292,978.2108
chargeback,926,293,690.9076
deposit,453,294,782.2267
dispute,526,295,561.7483
resolve,785,296,373.5482
dispute,691,297,91.0618
chargeback,121,298,665.8753
chargeback,255,299,171.0653
withdrawal,333,300,985.341
dispute,959,301,772.0519
resolve,573,302,604.2173
deposit,503,303,508.5123
withdrawal,637,304,493.6122
dispute,236,305,457.9409
dispute,427,306,313.9971
deposit,134,307,369.1026
dispute,495,308,388.767
chargeback,31,309,284.3615
deposit,632,310,971.4593
deposit,934,311,961.8058
deposit,481,312,611.3038
resolve,603,313,70.1623
resolve,995,314,148.9253
withdrawal,411,315,472.532
withdrawal,460,316,84.7463
withdrawal,259,317,756.9824
dispute,995,318,787.715
chargeback,248,319,843.6934
resolve,353,320,451.169
resolve,82,321,133.5391
dispute,333,322,759.4941
chargeback,887,323,255.7488
dispute,778,324,185.4355
deposit,252,325,73.4147
withdrawal,79,326,43.7153
resolve,955,327,568.1201
withdrawal,851,328,382.8404
withdrawal,977,329,535.7749
resolve,416,330,868.9786
deposit,778,331,708.1999
withdrawal,824,332,399.7638
chargeback,561,333,979.538
resolve,544,334,297.6204
resolve,556,335,818.2937
chargeback,674,336,727.1801
resolve,919,337,239.0212
chargeback,739,338,658.1926
deposit,59,339,101.3611
chargeback,688,340,386.3616
resolve,239,341,425.0313
withdrawal,841,342,938.6217
deposit,422,343,378.2708
resolve,883,344,409.9097
chargeback,377,345,868.8743
chargeback,471,346,118.8102
withdrawal,891,347,474.4996
resolve,132,348,648.6876
withdrawal,427,349,179.4764
resolve,177,350,744.222
resolve,6,351,128.3015
chargeback,772,352,397.9712
chargeback,224,353,84.6054
dispute,73,354,371.4667
resolve,335,355,134.0473
chargeback,523,356,594.1147
withdrawal,690,357,400.7079
withdrawal,971,358,18.7077
withdrawal,580,359,478.3364
chargeback,620,360,836.0898
resolve,871,361,667.8571
withdrawal,345,362,117.6407
chargeback,591,363,258.4952
dispute,734,364,404.8227
withdrawal,511,365,739.7493
resolve,63,366,861.3332
dispute,402,367,9.2988
chargeback,283,368,629.2284
withdrawal,496,369,267.2388
dispute,950,370,978.6615
resolve,53,371,342.6899
chargeback,361,372,331.7104
withdrawal,906,373,94.8833
withdrawal,973,374,146.4224
chargeback,549,375,615.9729
chargeback,932,376,352.0643
withdrawal,613,377,813.1818
resolve,743,378,708.5956
chargeback,915,379,235.0513
withdrawal,284,380,193.2033
deposit,641,381,268.0527
chargeback,543,382,719.5197
deposit,62,383,162.0603
chargeback,429,384,97.3935
chargeback,295,385,740.7378
dispute,701,386,598.4421
resolve,597,387,805.3014
chargeback,431,388,325.3655
deposit,468,389,598.1269
dispute,487,390,459.7468
resolve,36,391,538.9168
deposit,687,392,309.696
deposit,128,393,880.1723
dispute,859,394,817.7695
dispute,786,395,155.4312
deposit,39,396,492.4028
chargeback,444,397,839.2113
resolve,469,398,920.637
dispute,230,399,707.9027
withdrawal,174,400,66.5258
chargeback,150,401,37.4747
resolve,220,402,779.5538
chargeback,352,403,179.4882
dispute,797,404,561.8271
dispute,94,405,557.7505
withdrawal,381,406,693.1073
deposit,748,407,188.2628
dispute,797,408,635.1758
withdrawal,185,409,239.0407
deposit,610,410,158.6735
dispute,267,411,2.8314
dispute,270,412,176.061
deposit,609,413,83.5156
dispute,928,414,118.1478
chargeback,224,415,104.7446
withdrawal,664,416,752.7806
chargeback,656,417,992.0816
deposit,943,418,542.2207
chargeback,668,419,530.4925
dispute,191,420,567.7376
dispute,673,421,715.2436
resolve,829,422,143.9617
resolve,482,423,663.3481
resolve,55,424,744.6249
chargeback,475,425,687.5876
deposit,343,426,67.9793
resolve,621,427,312.0039
chargeback,611,428,959.042
deposit,41,429,575.5256
chargeback,598,430,667.7878
resolve,232,431,220.3881
resolve,929,432,223.3287
withdrawal,973,433,453.3245
chargeback,352,434,87.9918
withdrawal,426,435,211.8788
chargeback,653,436,468.2245
deposit,840,437,123.1628
resolve,443,438,279.4097
resolve,300,439,571.7332
withdrawal,991,440,454.6843
dispute,599,441,936.2485
resolve,388,442,530.0126
deposit,202,443,227.4522
resolve,155,444,83.5653
withdrawal,533,445,680.6112
deposit,649,446,443.5279
dispute,75,447,241.6424
withdrawal,494,448,504.6264
dispute,367,449,12.6541
deposit,601,450,579.5383
chargeback,538,451,142.8796
chargeback,468,452,509.4212
withdrawal,503,453,247.1092
withdrawal,565,454,988.567
withdrawal,579,455,478.6007
withdrawal,363,456,200.9986
withdrawal,312,457,996.006
dispute,939,458,671.1777
withdrawal,324,459,590.1586
dispute,582,460,273.7336
withdrawal,972,461,643.5501
dispute,809,462,398.3463
withdrawal,361,463,448.1846
resolve,980,464,156.6708
deposit,825,465,996.0256
deposit,705,466,766.6222
deposit,710,467,653.4135
resolve,755,468,803.775
dispute,329,469,892.4005
withdrawal,226,470,631.4179
deposit,926,471,817.9013
dispute,818,472,509.9201
resolve,769,473,931.3497
deposit,418,474,409.363
chargeback,242,475,184.5514
withdrawal,879,476,211.2304
chargeback,821,477,97.9762
withdrawal,228,478,380.7894
dispute,66,479,692.3488
deposit,145,480,894.8466
withdrawal,179,481,632.7504
withdrawal,953,482,613.1
chargeback,866,483,731.7153
deposit,764,484,771.4677
chargeback,392,485,715.2531
withdrawal,585,486,145.7737
withdrawal,175,487,415.6429
dispute,345,488,235.8302
chargeback,24,489,210.3528
dispute,697,490,298.5162
withdrawal,384,491,891.0211
deposit,129,492,477.8212
deposit,814,493,963.4984
resolve,588,494,987.5359
withdrawal,198,495,629.3472
dispute,429,496,560.4649
chargeback,471,497,842.6885
dispute,94,498,701.2823
deposit,431,499,765.9748
resolve,919,500,997.8441
dispute,239,501,339.9895
dispute,494,502,438.5838
withdrawal,432,503,400.3402
dispute,389,504,332.1378
dispute,950,505,901.5134
withdrawal,647,506,437.6732
deposit,961,507,936.3794
chargeback,929,508,543.769
withdrawal,256,509,586.8811
chargeback,198,510,55.7982
resolve,356,511,729.2176
resolve,567,512,666.27
chargeback,917,513,727.57
dispute,91,514,70.1494
dispute,646,515,147.372
chargeback,725,516,415.3676
resolve,545,517,704.443
dispute,706,518,205.6833
resolve,483,519,381.4197
resolve,588,520,867.1314
withdrawal,916,521,923.9992
dispute,967,522,876.6424
chargeback,925,523,551.5734
chargeback,95,524,483.6935
withdrawal,897,525,103.7077
resolve,799,526,897.9326
deposit,889,527,697.0695
withdrawal,639,528,103.623
chargeback,923,529,842.5803
resolve,149,530,232.8407
withdrawal,97,531,327.9649
deposit,732,532,578.9266
withdrawal,240,533,932.4315
deposit,600,534,283.4725
chargeback,273,535,57.1365
withdrawal,289,536,44.115
deposit,244,537,553.3101
chargeback,617,538,140.2387
chargeback,800,539,620.401
resolve,646,540,442.0379
dispute,15,541,750.2271
resolve,166,542,739.2516
dispute,363,543,206.7637
deposit,513,544,243.4788
withdrawal,521,545,386.8732
dispute,770,546,717.1125
chargeback,996,547,911.4756
chargeback,968,548,984.4425
withdrawal,681,549,438.2305
withdrawal,481,550,358.9266
withdrawal,704,551,19.4259
dispute,593,552,609.3273
deposit,697,553,882.9893
dispute,365,554,883.3243
resolve,817,555,23.2773
dispute,887,556,75.815
chargeback,722,557,943.6025
dispute,317,558,189.7362
deposit,817,559,208.4626
chargeback,304,560,775.5968
dispute,152,561,671.6171
chargeback,265,562,64.2897
deposit,284,563,163.6858
deposit,944,564,470.9253
chargeback,553,565,551.1437
withdrawal,243,566,505.943
deposit,322,567,815.8907
dispute,868,568,179.4424
chargeback,768,569,770.6828
withdrawal,213,570,126.084
resolve,400,571,101.75
chargeback,836,572,866.5273
deposit,769,573,737.5442
resolve,350,574,913.2532
resolve,611,575,54.6177
chargeback,104,576,689.6829
deposit,166,577,204.0417
chargeback,438,578,973.7971
resolve,401,579,39.5498
dispute,788,580,734.2362
chargeback,553,581,742.8665
dispute,644,582,604.0931
dispute,366,583,744.3968
dispute,48,584,58.7031
deposit,383,585,514.4589
chargeback,41,586,949.5709
withdrawal,416,587,246.2123
dispute,520,588,751.1206
withdrawal,495,589,848.3999
resolve,591,590,12.2671
resolve,453,591,828.0252
chargeback,5,592,785.8607
chargeback,271,593,436.5989
chargeback,135,594,145.912
resolve,911,595,577.6499
chargeback,710,596,665.0113
withdrawal,884,597,631.375
chargeback,417,598,486.2579
dispute,558,599,114.5064
chargeback,179,600,873.9793
withdrawal,501,601,716.5342
chargeback,683,602,838.5962
dispute,569,603,453.4284
deposit,263,604,689.8856
deposit,281,605,811.9194
dispute,297,606,720.9532
dispute,400,607,986.0808
dispute,707,608,453.9927
deposit,358,609,111.1101
withdrawal,306,610,95.7549
dispute,361,611,51.4009
dispute,316,612,279.7818
resolve,321,613,506.5536
deposit,842,614,252.5352
deposit,478,615,268.1983
chargeback,236,616,589.7098
deposit,446,617,747.386
deposit,26,618,669.3935
resolve,25,619,448.7713
dispute,244,620,19.9396
deposit,628,621,659.4892
resolve,256,622,496.5469
chargeback,536,623,145.4472
chargeback,16,624,416.616
dispute,41,625,308.1581
chargeback,340,626,316.7415
resolve,745,627,26.1007
deposit,90,628,28.262
withdrawal,375,629,26.573
resolve,379,630,868.7544
resolve,517,631,731.1918
resolve,662,632,10.0838
deposit,807,633,9.1276
withdrawal,231,634,580.374
chargeback,618,635,644.5011
dispute,8,636,814.7064
dispute,823,637,335.8457
withdrawal,533,638,638.5208
resolve,276,639,211.1454
chargeback,814,640,784.3567
chargeback,329,641,170.2247
dispute,865,642,526.2561
dispute,501,643,543.7741
chargeback,336,644,771.734
withdrawal,121,645,88.6529
resolve,307,646,702.4574
dispute,514,647,401.8221
resolve,569,648,763.1063
deposit,597,649,595.6007
withdrawal,130,650,344.0307
deposit,963,651,874.6232
dispute,28,652,254.6666
chargeback,905,653,345.8717
chargeback,748,654,398.7317
resolve,951,655,319.7643
dispute,497,656,330.2751
withdrawal,920,657,731.735
chargeback,92,658,424.7835
deposit,102,659,238.2322
deposit,325,660,205.4142
dispute,979,661,751.4164
dispute,914,662,294.599
chargeback,374,663,317.7182
chargeback,75,664,146.6495
resolve,29,665,615.6962
chargeback,842,666,467.528
dispute,548,667,499.0721
withdrawal,706,668,926.5535
chargeback,677,669,510.4145
deposit,616,670,830.4062
dispute,92,671,525.0402
resolve,164,672,254.7169
withdrawal,608,673,774.8838
chargeback,178,674,531.6597
chargeback,740,675,422.8049
withdrawal,62,676,37.149
resolve,588,677,491.8642
chargeback,3,678,904.2147
withdrawal,278,679,806.0833
dispute,317,680,116.9996
withdrawal,224,681,724.3217
deposit,862,682,592.9374
withdrawal,606,683,407.5704
dispute,198,684,840.379
dispute,808,685,624.334
withdrawal,961,686,896.6571
dispute,174,687,929.1989
withdrawal,980,688,104.1981
chargeback,644,689,233.0786
resolve,937,690,178.3326
resolve,440,691,810.9418
withdrawal,800,692,611.3764
chargeback,586,693,895.9889
resolve,374,694,967.2215
withdrawal,127,695,247.8928
withdrawal,11,696,392.7485
resolve,846,697,392.3358
deposit,264,698,402.1471
dispute,626,699,789.1373
withdrawal,655,700,435.3969
dispute,736,701,340.1567
resolve,340,702,287.8167
deposit,91,703,696.5218
deposit,783,704,829.7212
chargeback,471,705,583.7463
chargeback,320,706,974.789
resolve,993,707,633.1213
withdrawal,347,708,595.3919
dispute,549,709,289.2113
deposit,402,710,637.7811
withdrawal,630,711,463.6801
resolve,3,712,149.9017
chargeback,589,713,635.727
deposit,142,714,425.4376
resolve,766,715,559.0162
resolve,125,716,88.2557
chargeback,212,717,454.9123
chargeback,299,718,974.4023
withdrawal,262,719,73.8463
deposit,15,720,939.3733
deposit,796,721,287.2006
withdrawal,325,722,782.5205
dispute,359,723,450.0533
withdrawal,978,724,217.5631
dispute,511,725,776.916
resolve,46,726,870.595
dispute,18,727,190.5739
chargeback,684,728,364.0299
chargeback,900,729,111.2548
deposit,979,730,92.5526
deposit,13,731,164.9979
dispute,948,732,680.693
resolve,341,733,827.5065
withdrawal,237,734,427.4287
withdrawal,226,735,608.6407
dispute,975,736,281.4728
dispute,180,737,364.2052
dispute,412,738,331.1958
resolve,238,739,788.9761
chargeback,882,740,278.1929
resolve,169,741,952.5719
dispute,386,742,930.5508
chargeback,705,743,381.2412
resolve,710,744,38.0588
deposit,787,745,277.8652
resolve,812,746,956.8757
resolve,830,747,288.6354
resolve,656,748,464.8592
resolve,515,749,603.558
dispute,872,750,856.6068
resolve,459,751,842.2376
resolve,963,752,810.5802
withdrawal,122,753,559.3849
chargeback,466,754,965.8718
resolve,83,755,71.5187
resolve,349,756,324.2207
withdrawal,247,757,21.9941
withdrawal,385,758,391.0596
withdrawal,412,759,181.0256
withdrawal,934,760,796.1788
chargeback,925,761,954.6546
deposit,967,762,629.5721
resolve,143,763,15.3166
withdrawal,802,764,865.9067
deposit,259,765,488.1997
resolve,107,766,971.4485
chargeback,81,767,293.3228
resolve,629,768,12.2366
chargeback,202,769,373.5033
withdrawal,214,770,457.4676
resolve,819,771,341.3635
dispute,675,772,99.7864
chargeback,122,773,250.3948
deposit,70,774,176.9596
chargeback,625,775,636.0322
chargeback,177,776,597.21
dispute,587,777,894.8558
dispute,453,778,435.7843
dispute,489,779,163.9553
withdrawal,246,780,786.2857
withdrawal,232,781,125.6744
chargeback,972,782,526.2391
dispute,45,783,902.6972
withdrawal,526,784,714.9526
dispute,869,785,148.6502
dispute,691,786,231.9062
deposit,459,787,929.9119
chargeback,48,788,243.0524
withdrawal,520,789,156.4705
withdrawal,506,790,766.0928
withdrawal,90,791,788.6355
dispute,459,792,522.8699
deposit,449,793,318.3382
resolve,87,794,539.2139
withdrawal,439,795,575.0006
deposit,605,796,847.0413
withdrawal,408,797,191.1091
deposit,858,798,254.6625
resolve,503,799,401.779
chargeback,657,800,186.5589
resolve,591,801,235.4089
chargeback,1000,802,206.9434
withdrawal,215,803,215.7588
chargeback,156,804,473.2516
chargeback,200,805,318.8976
dispute,448,806,527.7169
deposit,57,807,916.6599
resolve,377,808,679.8419
chargeback,295,809,738.5727
withdrawal,930,810,476.4487
dispute,802,811,800.352
deposit,837,812,86.3319
resolve,411,813,763.5672
dispute,331,814,573.4338
deposit,475,815,593.9318
chargeback,822,816,190.596
chargeback,39,817,738.9568
dispute,254,818,474.293
chargeback,188,819,290.3894
deposit,954,820,223.6873
dispute,24,821,472.3326
deposit,738,822,520.113
withdrawal,586,823,127.1706
deposit,348,824,315.8129
deposit,839,825,256.5867
withdrawal,461,826,753.8121
withdrawal,478,827,925.445
dispute,484,828,290.6857
withdrawal,621,829,900.6402
deposit,531,830,287.8045
resolve,221,831,765.7198
withdrawal,112,832,447.312
resolve,280,833,736.3098
resolve,909,834,370.1253
resolve,844,835,639.1502
dispute,185,836,378.7757
chargeback,675,837,645.4048
deposit,320,838,386.2638
deposit,342,839,669.1005
resolve,653,840,385.6185
resolve,689,841,301.7751
deposit,477,842,50.6741
chargeback,425,843,76.1328
withdrawal,513,844,709.4041
chargeback,819,845,138.852
dispute,934,846,290.3678
resolve,375,847,295.2714
resolve,336,848,934.2329
chargeback,225,849,377.5213
withdrawal,526,850,653.5051
withdrawal,299,851,352.6165
withdrawal,797,852,818.4748
withdrawal,355,853,82.631
chargeback,462,854,713.1701
chargeback,364,855,868.4226
deposit,456,856,848.0703
dispute,489,857,891.9257
chargeback,207,858,364.4146
deposit,354,859,756.5317
dispute,113,860,774.8196
resolve,92,861,826.8944
resolve,263,862,110.0991
chargeback,529,863,497.9599
deposit,641,864,494.7933
withdrawal,732,865,658.0254
withdrawal,985,866,189.2932
deposit,348,867,772.6131
resolve,617,868,402.1322
withdrawal,666,869,128.4723
dispute,875,870,819.9387
chargeback,513,871,626.0118
dispute,152,872,135.1093
resolve,100,873,664.3794
deposit,946,874,298.1885
deposit,965,875,573.5012
resolve,565,876,80.5709
dispute,652,877,332.4493
deposit,266,878,336.5272
resolve,259,879,627.5042
resolve,732,880,467.9424
resolve,10,881,317.1612
deposit,452,882,498.8132
resolve,44,883,497.5899
withdrawal,611,884,504.5287
chargeback,645,885,180.2748
deposit,264,886,607.0185
withdrawal,226,887,375.5868
withdrawal,517,888,296.5586
chargeback,939,889,969.9134
deposit,553,890,545.3096
dispute,698,891,919.18
withdrawal,813,892,625.5011
dispute,679,893,160.4623
resolve,897,894,125.0266
dispute,657,895,564.769
chargeback,287,896,576.9357
chargeback,732,897,600.6229
deposit,624,898,469.8568
deposit,919,899,916.4532
dispute,442,900,141.4854
withdrawal,324,901,776.1656
withdrawal,63,902,42.3755
chargeback,849,903,616.4867
resolve,183,904,40.7064
withdrawal,28,905,542.1859
chargeback,189,906,937.6967
withdrawal,895,907,868.9287
deposit,996,908,574.7614
resolve,914,909,727.2625
chargeback,466,910,568.936
chargeback,916,911,552.7047
resolve,665,912,346.6841
deposit,889,913,937.1742
chargeback,613,914,990.738
chargeback,811,915,384.8498
dispute,806,916,609.9746
deposit,129,917,380.9461
dispute,809,918,45.6916
resolve,933,919,509.3333
deposit,708,920,758.3324
chargeback,370,921,801.9956
withdrawal,967,922,732.1984
deposit,383,923,538.7581
withdrawal,39,924,747.9708
withdrawal,192,925,991.7853
withdrawal,980,926,873.982
withdrawal,148,927,983.8736
resolve,107,928,125.1516
deposit,400,929,947.2711
deposit,842,930,103.4091
withdrawal,453,931,276.7135
withdrawal,567,932,508.5561
chargeback,189,933,776.4567
withdrawal,72,934,834.7991
deposit,67,935,682.7612
withdrawal,732,936,634.8617
dispute,880,937,177.4712
withdrawal,192,938,741.5311
withdrawal,567,939,36.6118
dispute,844,940,591.5527
resolve,685,941,228.1917
withdrawal,285,942,370.2365
chargeback,937,943,748.6008
dispute,84,944,810.9799
withdrawal,553,945,381.4186
dispute,926,946,892.5696
resolve,299,947,221.4342
withdrawal,941,948,796.4801
chargeback,684,949,485.7817
withdrawal,386,950,21.9863
chargeback,83,951,764.2129
withdrawal,182,952,94.8301
withdrawal,269,953,343.1184
chargeback,287,954,467.67
deposit,378,955,387.5501
resolve,429,956,216.1494
chargeback,210,957,861.7431
resolve,30,958,743.6409
resolve,748,959,425.5425
deposit,649,960,828.345
chargeback,613,961,642.7527
deposit,520,962,307.7171
deposit,863,963,634.166
dispute,233,964,910.921
dispute,903,965,268.8817
withdrawal,912,966,412.8212
deposit,111,967,741.7227
dispute,235,968,86.4718
chargeback,945,969,255.5782
withdrawal,449,970,456.8168
chargeback,710,971,112.5757
withdrawal,45,972,216.2362
chargeback,901,973,958.2948
resolve,270,974,907.8157
deposit,341,975,666.1743
dispute,428,976,384.2922
resolve,2,977,991.9352
withdrawal,970,978,434.0395
dispute,134,979,51.5155
resolve,938,980,996.9912
resolve,873,981,811.1916
dispute,243,982,125.9774
dispute,613,983,794.8158
resolve,189,984,506.0594
dispute,501,985,148.9475
resolve,146,986,579.3712
deposit,797,987,370.9917
withdrawal,181,988,466.575
resolve,807,989,643.596
resolve,769,990,982.6078
deposit,702,991,70.9401
dispute,526,992,230.8288
resolve,526,993,55.7614
chargeback,646,994,413.04
resolve,25,995,659.1886
chargeback,644,996,136.9193
withdrawal,573,997,768.0822
dispute,202,998,165.7532
deposit,732,999,698.1243
chargeback,134,1000,189.1051
chargeback,817,1001,644.3894
chargeback,928,1002,842.144
resolve,638,1003,92.3281
deposit,263,1004,185.8637
chargeback,457,1005,487.4048
chargeback,797,1006,198.2212
deposit,909,1007,386.4984
deposit,734,1008,618.566
resolve,164,1009,691.7253
deposit,716,1010,134.7326
withdrawal,417,1011,266.6438
withdrawal,386,1012,583.2626
withdrawal,727,1013,995.6867
deposit,995,1014,353.4958
deposit,625,1015,641.5489
withdrawal,866,1016,835.0232
resolve,569,1017,871.8275
deposit,764,1018,249.5
withdrawal,15,1019,318.0991
withdrawal,760,1020,58.8194
chargeback,32,1021,974.3282
chargeback,276,1022,713.4711
withdrawal,92,1023,461.352
chargeback,696,1024,189.2838
chargeback,696,1025,537.0547
chargeback,844,1026,531.9482
withdrawal,996,1027,496.428
resolve,902,1028,558.0074
chargeback,194,1029,907.0411
resolve,547,1030,971.398
resolve,400,1031,176.7162
